Date,AAPL,MSFT,NVDA,SPY
2018-01-02,40.30418014526367,78.87037658691406,4.928267002105713,237.20819091796875
2018-01-03,40.29716110229492,79.2374038696289,5.252614498138428,238.7086181640625
2018-01-04,40.484336853027344,79.93479919433594,5.280303001403809,239.71466064453125
2018-01-05,40.945255279541016,80.9258804321289,5.325050354003906,241.3121795654297
2018-01-08,40.79318618774414,81.0084457397461,5.488212585449219,241.75347900390625
2018-01-09,40.78849792480469,80.95337677001953,5.486730098724365,242.30068969726562
2018-01-10,40.77914047241211,80.5863265991211,5.529744625091553,241.92999267578125
2018-01-11,41.01077651977539,80.82492065429688,5.539634704589844,243.69508361816406
2018-01-12,41.43425750732422,82.21971130371094,5.512438774108887,245.28379821777344
2018-01-16,41.22368240356445,81.07267761230469,5.441487789154053,244.44537353515625
2018-01-17,41.90454864501953,82.7152328491211,5.555455684661865,246.77529907226562
2018-01-18,41.94198989868164,82.67852783203125,5.548532485961914,246.36045837402344
2018-01-19,41.75481414794922,82.5867691040039,5.688704490661621,247.4813690185547
2018-01-22,41.41321563720703,84.06416320800781,5.777209758758545,249.49356079101562
2018-01-23,41.42256546020508,84.33026123046875,5.906256675720215,250.02313232421875
2018-01-24,40.76277160644531,84.25685119628906,5.829370498657227,249.92605590820312
2018-01-25,40.035099029541016,84.72486114501953,5.842968463897705,250.031982421875
2018-01-26,40.128692626953125,86.31234741210938,6.015524864196777,252.92681884765625
2018-01-29,39.298091888427734,86.18388366699219,6.1025471687316895,251.2498321533203
2018-01-30,39.06645584106445,85.10106658935547,6.0004448890686035,248.6728057861328
2018-01-31,39.174076080322266,87.1841049194336,6.076587200164795,248.7964324951172
2018-02-01,39.25597381591797,86.49588012695312,5.945563316345215,248.513916015625
2018-02-02,37.55266189575195,84.22016143798828,5.77300500869751,243.1038360595703
2018-02-05,36.61442947387695,80.75150299072266,5.283021450042725,232.93661499023438
2018-02-06,38.14460372924805,83.80724334716797,5.576714515686035,237.52593994140625
2018-02-07,37.32805252075195,82.2288818359375,5.656319618225098,236.23741149902344
2018-02-08,36.3009033203125,78.0077896118164,5.377460479736328,227.3764190673828
2018-02-09,36.74490737915039,80.91667175292969,5.737405300140381,230.7919158935547
2018-02-12,38.22494888305664,81.78842163085938,5.637282848358154,234.18096923828125
2018-02-13,38.607872009277344,82.4307632446289,5.751003265380859,234.76345825195312
2018-02-14,39.3197021484375,83.72148132324219,5.968306541442871,237.93194580078125
2018-02-15,40.63999938964844,85.42708587646484,6.093894004821777,240.96792602539062
2018-02-16,40.50843811035156,84.8185806274414,6.028132915496826,241.0385284423828
